Country,New Cases Predict,R-squared score,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
Indonesia,11597.0,-14368.603600888888,281458835.272485,16776.734940759034,12859.51789196286
Iran,16500.0,-26.132158979738414,174143702.78130415,13196.351873957596,11967.352969434916
Iraq,5257.0,-235.3214587199306,21330634.4937635,4618.509986322808,4614.255569567045
Ireland,917.0,-2.7369985507281247,23240655.64115193,4820.856318243879,4119.9603074521165
Isle of Man,34.0,-0.40845647708650024,9714.600873582134,98.56267484997622,60.168019850812165
Israel,2523.0,-14.61677699000919,12153770.87809847,3486.2258788119952,2580.9965243747097
Italy,8153.0,-0.48497970354395514,711009596.459832,26664.763199020388,16026.338814985313
Jamaica,269.0,-8.595111321493905,43601.16572723921,208.80892157003066,193.8997291511765
Japan,4893.0,-6692.279368410004,49140056.87383168,7009.996923953083,5635.980488588795
Jersey,29.0,-1.382340334576123,20494.233505172768,143.15807174299593,108.00852480358614
Jordan,1960.0,-0.5608623998966491,2615778.869673963,1617.3369684991324,1392.623570164422
Kazakhstan,2873.0,-36.82959041113557,4807917.521991993,2192.696404428117,2182.488893588275
Kenya,559.0,0.06334689985101372,1094448.7280721848,1046.1590357456103,736.6895582117302
Kiribati,0.0,1.0,0.0,0.0,0.0
Kosovo,369.0,-2912.803347977505,177697.36923849702,421.5416577735788,357.92505854800953
Kuwait,909.0,-80.23479328791863,841736.5896386735,917.4620371648483,843.3253467843626
Kyrgyzstan,354.0,-324.06095374813776,140814.2037296609,375.2521868419435,298.0928361256232
Laos,145.0,-15.255825863561892,1091036.196400264,1044.5267810833116,1010.3706239116076
Latvia,560.0,-0.9287349211722313,516101.50265520334,718.402048058887,513.4092713219853
Lebanon,1254.0,-0.3647342395839033,720073.1079289585,848.5712155906294,640.6546568422741
Lesotho,48.0,-0.02557425479094899,74505.02601125013,272.9560880640879,124.6227530861931
Liberia,14.0,0.3268334595794593,426.2032469529978,20.64469052693689,16.28272525884144
Libya,875.0,-6.2845475368258645,352971.87581150385,594.1143625696183,483.0507871815664
Liechtenstein,4.0,-4.498717606798205,1832.3068865256873,42.80545393434915,38.6096799375488
Lithuania,829.0,-8.744511443224363,3671050.2359623564,1915.9984958142206,1434.6952964632999
Luxembourg,115.0,-0.8847510321741576,103278.77068988857,321.3701459219393,242.21922718590255
Macao,0.0,1.0,0.0,0.0,0.0
Madagascar,90.0,0.025852508359233695,189560.34946831045,435.385288529953,190.9990607444165
Malawi,140.0,-0.03360348050556894,129888.38387328439,360.40031058988336,239.89156692873638
Malaysia,8267.0,-334.0454227237205,352611874.40648144,18777.96246685144,15956.043835248156
Maldives,264.0,-23.760628102672946,28306.994182638264,168.24682517848075,137.27959215118756
Mali,29.0,-0.8408419218073133,3795.4459944577548,61.60719109371693,47.60493788982254
Malta,72.0,-0.280680445741317,169041.35691647814,411.14639353456346,213.86645921109766
Marshall Islands,0.0,1.0,0.0,0.0,0.0
Martinique,135.0,-0.002801776930456912,30780.955536726986,175.44502140763922,107.42918542743821
Mauritania,76.0,-0.8347767986421983,2395.831918803616,48.947236069094,40.14701448489
